Signal,Account,Type,Direction,Date,Detail,Weight
Daily active use steady across all 4 teams,Floor & Board Furniture,Adoption,Positive,2026-07-15,"Core calendar and base in strong daily use. Adoption is genuinely healthy — this is why a usage-based health score would show this account green.",2
Support mix shifted to basic how-to,Floor & Board Furniture,Support,Neutral,2026-07-01,"Ticket mix moved from advanced configuration to how-to after the champion left. Capability is draining with the person, not the platform.",2
Cross-team automation break escalated,Floor & Board Furniture,Support,Negative,2026-07-12,"One cross-team automation broke and escalated. Support owns the fix — not CSM time in a renewal cycle.",1
Sales flagged renewal risk,Floor & Board Furniture,Commercial,Negative,2026-07-05,"AE raised renewal risk ahead of the conversation in ~2 quarters.",3
Zero value-realization conversations since kickoff,Floor & Board Furniture,Engagement,Negative,2026-07-20,"No value conversation in over a year. Proof = 1.",3
AI use cases stalled in review >1 quarter,Meridian Health Systems,Governance,Negative,2026-07-10,"Every proposed AI use case has sat in the customer's security and data-governance review for over a quarter.",3
Exec sponsor pushing for agent rollout,Meridian Health Systems,Engagement,Positive,2026-07-16,"Sponsor actively wants to move aggressively. Demand is not the problem.",3
CoE running effectively,Meridian Health Systems,Governance,Positive,2026-07-14,"Established CoE functioning well within its remit.",2
CSM relaying rather than leading,Meridian Health Systems,Engagement,Negative,2026-07-14,"HTCSM has drifted into order-taking between review board and Airtable. Coaching flag, not an account risk.",2
Kickoff scheduled in 3 weeks,TrailLine Logistics,Engagement,Neutral,2026-07-20,"Hard date. Sets the sequencing for the first 30 days.",3
Ops team lead cold on pre-call,TrailLine Logistics,Engagement,Negative,2026-07-15,"Cited two prior transformation tools that created work instead of removing it.",3
COO enthusiastic and engaged,TrailLine Logistics,Engagement,Positive,2026-07-18,"Bought the vision directly. Single-threaded.",2
No AI adoption yet,TrailLine Logistics,Adoption,Neutral,2026-07-20,"Pre-kickoff. Expected.",1
Field agents in production in one BU,Corvus Financial Group,Adoption,Positive,2026-07-17,"Automations plus AI field agents running in production. The strongest real AI adoption in the book.",3
Enterprise-wide rollout requested by BU,Corvus Financial Group,Commercial,Positive,2026-07-17,"BU wants enterprise-wide rollout. Significant expansion opportunity.",3
CFO and procurement unengaged,Corvus Financial Group,Commercial,Negative,2026-07-20,"The two parties who decide the expansion have never seen anything from us.",3
No value narrative exists,Corvus Financial Group,Engagement,Negative,2026-07-20,"Champion has real numbers in a spreadsheet and has never presented them upward in financial terms.",3
Stable healthy core usage,Harbor Lane Retail,Adoption,Positive,2026-07-09,"Consistent usage within comfort zone. Nothing wrong, which is the problem.",2
Zero AI awareness,Harbor Lane Retail,Adoption,Negative,2026-07-09,"Team largely unaware of AI capabilities. Curious when raised, no frame for it.",2
Manual weekly assortment review identified,Harbor Lane Retail,Adoption,Neutral,2026-07-09,"Entirely manual process downstream of the base. Obvious P1 candidate.",2
Seats growing without CS involvement,Voltaic Software,Commercial,Negative,2026-07-14,"Seat growth is real and entirely self-served. Not attributable, not defensible at renewal.",3
QBR attendance declined two quarters running,Voltaic Software,Engagement,Negative,2026-07-11,"Sponsor-level disengagement. The clearest churn-shaped signal in the book.",3
Customer building ungoverned agents,Voltaic Software,Governance,Negative,2026-07-11,"RevOps building own agents, some poorly governed by their own description. Volunteered that they have agents nobody owns and are worried about cost.",3
Renewal pricing negotiation in 2 quarters,Voltaic Software,Commercial,Negative,2026-07-20,"Pricing negotiation approaching and CS is not in the room.",3
